Várzea Paulista (SP);298
Juatuba (MG);297
Palotina (PR);297
São Marcos (RS);296
Campo Limpo Paulista (SP);295
Guaíra (SP);295
Poá (SP);295
Primavera do Leste (MT);295
Igarassu (PE);294
Cidade Ocidental (GO);294
São Benedito (CE);293
Salvador do Sul (RS);293
Goianésia (GO);292
Nova Redenção (BA);291
Paracatu (MG);291
Maracaju (MS);291
João Monlevade (MG);290
Congonhas (MG);289
Crateús (CE);288
Palmeira dos Índios (AL);288
Medianeira (PR);288
Itapoá (SC);287
Osório (RS);287
Bom Despacho (MG);286
Nova Mutum (MT);286
Sertanópolis (PR);285
Brochier (RS);285
Itapema (SC);283
Viçosa (MG);282
Barbacena (MG);281
Nova Odessa (SP);281
Sant'Ana do Livramento (RS);281
Serra Talhada (PE);280
Pirapora (MG);280
Formosa do Rio Preto (BA);278
Catuti (MG);278
Louveira (SP);278
Jaguaré (ES);277
Barra do Piraí (RJ);277
Monte Alto (SP);277
Timóteo (MG);275
Iguaba Grande (RJ);275
São José do Rio Pardo (SP);275
Porto Xavier (RS);275
Guaraciaba do Norte (CE);272
Cajamar (SP);272
Sapiranga (RS);272
Frutal (MG);271
Rio do Sul (SC);271
Arroio do Meio (RS);271
Boa Viagem (CE);270
Taquaritinga (SP);270
Vacaria (RS);270
Viana (ES);269
Penápolis (SP);269
São Francisco de Itabapoana (RJ);267
Lorena (SP);266
Armação dos Búzios (RJ);265
Aquidauana (MS);265
Santa Rita de Cássia (BA);264
Assis Chateaubriand (PR);264
Caçador (SC);264
Paulo Afonso (BA);263
Baianópolis (BA);262
Itaberaba (BA);262
Bonito de Minas (MG);262
Vera Cruz (RS);262
Caeté (MG);260
Campo Maior (PI);259
Luís Eduardo Magalhães (BA);259
Andradina (SP);259
Embu-Guaçu (SP);258
Dezesseis de Novembro (RS);258
Xanxerê (SC);257
Campina Grande do Sul (PR);256
Três Pontas (MG);255
São João da Barra (RJ);255
Boa Vista do Cadeado (RS);254
Cachoeira do Sul (RS);254
Estrela (RS);254
Pitangui (MG);253
Capivari (SP);253
Itapeva (SP);253
Mandaguari (PR);253
Campo Belo (MG);252
Salinas (MG);252
São Joaquim de Bicas (MG);252
Cubatão (SP);252
Dois Vizinhos (PR);252
Paragominas (PA);250
Irati (SC);250
Pomerode (SC);250
Timbó (SC);250
Imbé (RS);250
Delmiro Gouveia (AL);249
Salto de Pirapora (SP);249
Nilópolis (RJ);248
São Joaquim da Barra (SP);248
Caseiros (RS);248
Xangri-lá (RS);248
