Dores do Turvo (MG);5;3;-
Piau (MG);5;-;-
Piedade de Caratinga (MG);5;12;-
Atílio Vivácqua (ES);5;-;-
Quissamã (RJ);5;48;-
Rio Rufino (SC);5;-;-
Chapada (RS);5;-;-
Liberato Salzano (RS);5;-;-
Marcelino Ramos (RS);5;-;2
Nonoai (RS);5;-;-
Palmeira das Missões (RS);5;-;-
Pinheiro Machado (RS);5;35;-
Santa Tereza (RS);5;2;-
Amapá (AP);4;-;-
Banabuiú (CE);4;-;-
Arara (PB);4;-;-
Coremas (PB);4;-;-
Duas Estradas (PB);4;-;-
Fagundes (PB);4;-;-
Sousa (PB);4;145;-
Paranatama (PE);4;-;-
Botuporã (BA);4;-;-
Ituberá (BA);4;-;-
Jitaúna (BA);4;-;-
Monte Santo (BA);4;-;-
Alfredo Vasconcelos (MG);4;22;-
Divino (MG);4;14;-
Fervedouro (MG);4;21;-
Joanésia (MG);4;-;-
Pedro Teixeira (MG);4;-;-
Resende Costa (MG);4;38;-
Santo Antônio do Rio Abaixo (MG);4;-;-
Visconde do Rio Branco (MG);4;50;15
Nova Venécia (ES);4;-;-
Palmeira (SC);4;-;-
Caçapava do Sul (RS);4;-;-
Tapes (RS);4;-;-
Tavares (RS);4;-;-
Lábrea (AM);3;-;-
Mazagão (AP);3;-;-
Groaíras (CE);3;-;-
Aroeiras (PB);3;-;-
Nova Olinda (PB);3;-;-
Santana dos Garrotes (PB);3;-;-
São Sebastião do Umbuzeiro (PB);3;-;-
Serra Grande (PB);3;-;-
Cafarnaum (BA);3;-;-
Maraú (BA);3;-;-
Caldas (MG);3;43;-
Passa Vinte (MG);3;-;-
Ibatiba (ES);3;-;-
Vila Pavão (ES);3;-;-
Campo Maior (PI);2;-;-
Simplício Mendes (PI);2;-;-
Aguiar (PB);2;-;-
Alagoa Nova (PB);2;-;-
Cacimba de Areia (PB);2;-;-
Camalaú (PB);2;1;-
Curral Velho (PB);2;-;-
Lagoa Seca (PB);2;1;-
Livramento (PB);2;-;-
Pedra Branca (PB);2;-;-
São Sebastião de Lagoa de Roça (PB);2;-;-
Frei Miguelinho (PE);2;-;-
Santa Maria do Cambucá (PE);2;-;-
Novo Lino (AL);2;-;-
Carira (SE);2;-;-
Aurelino Leal (BA);2;3;-
Itamari (BA);2;-;-
Pedro Alexandre (BA);2;-;-
Una (BA);2;-;-
Acaiaca (MG);2;3;-
Iapu (MG);2;18;-
Miraí (MG);2;12;-
Munhoz (MG);2;-;-
Piranga (MG);2;13;-
Piraúba (MG);2;30;-
São Gonçalo do Rio Abaixo (MG);2;45;-
Capão Alto (SC);2;-;-
Cerro Negro (SC);2;-;-
Luiz Alves (SC);2;-;-
Painel (SC);2;-;-
Campestre da Serra (RS);2;-;-
Herveiras (RS);2;-;-
Tupandi (RS);2;-;-
Bujari (AC);1;-;-
Umari (CE);1;-;-
Algodão de Jandaíra (PB);1;-;-
Tenório (PB);1;-;-
Salgadinho (PE);1;-;-
Areia Branca (SE);1;-;-
Campo do Brito (SE);1;-;-
Monte Alegre de Sergipe (SE);1;-;-
São Francisco (SE);1;-;-
Cantagalo (MG);1;12;-
Morro do Pilar (MG);1;8;-
Virgolândia (MG);1;8;-
Divino de São Lourenço (ES);1;-;-
Aperibé (RJ);1;21;-
Porto Estrela (MT);1;-;-
Alta Floresta D'Oeste (RO);-;-;-
Ariquemes (RO);-;9;-
Cabixi (RO);-;-;-
Cerejeiras (RO);-;-;-
Colorado do Oeste (RO);-;-;-
Corumbiara (RO);-;-;-
Costa Marques (RO);-;-;-
Espigão D'Oeste (RO);-;-;-
Guajará-Mirim (RO);-;13;-
Jaru (RO);-;-;-
Ji-Paraná (RO);-;-;-
Machadinho D'Oeste (RO);-;-;-
Nova Brasilândia D'Oeste (RO);-;-;-
Ouro Preto do Oeste (RO);-;-;-
Pimenta Bueno (RO);-;-;-
Porto Velho (RO);-;70;-
Presidente Médici (RO);-;-;-
Rio Crespo (RO);-;-;-
Rolim de Moura (RO);-;-;-
Santa Luzia D'Oeste (RO);-;-;-
Vilhena (RO);-;-;-
São Miguel do Guaporé (RO);-;-;-
Nova Mamoré (RO);-;-;-
Alvorada D'Oeste (RO);-;54;-
Alto Alegre dos Parecis (RO);-;-;-
Alto Paraíso (RO);-;-;-
Buritis (RO);-;-;-
Novo Horizonte do Oeste (RO);-;-;-
Cacaulândia (RO);-;-;-
Campo Novo de Rondônia (RO);-;-;-
Candeias do Jamari (RO);-;-;-
Castanheiras (RO);-;-;-
Chupinguaia (RO);-;-;-
Cujubim (RO);-;-;-
Governador Jorge Teixeira (RO);-;-;-
Itapuã do Oeste (RO);-;-;-
Ministro Andreazza (RO);-;-;-
Mirante da Serra (RO);-;-;-
Monte Negro (RO);-;-;-
Nova União (RO);-;-;-
Parecis (RO);-;-;-
Pimenteiras do Oeste (RO);-;-;-
Primavera de Rondônia (RO);-;-;-
São Felipe D'Oeste (RO);-;-;-
São Francisco do Guaporé (RO);-;-;-
Seringueiras (RO);-;-;-
Teixeirópolis (RO);-;-;-
Theobroma (RO);-;-;-
Urupá (RO);-;-;-
Vale do Anari (RO);-;-;-
Vale do Paraíso (RO);-;-;-
Acrelândia (AC);-;-;-
Assis Brasil (AC);-;-;-
Brasiléia (AC);-;-;-
Capixaba (AC);-;-;-
Cruzeiro do Sul (AC);-;-;-
Epitaciolândia (AC);-;-;-
Feijó (AC);-;-;-
